date,confirmedCount
2022/4/29,1203847
2022/4/30,1204210
2022/5/1,1204510
2022/5/2,1204793
2022/5/3,1205083
2022/5/4,1205396
2022/5/5,1205717
2022/5/6,1206041
2022/5/7,1206319
2022/5/8,1206585
2022/5/9,1206818
2022/5/10,1207091
2022/5/11,1207371
2022/5/12,1207665
2022/5/13,1207963
2022/5/14,1208247
2022/5/15,1208506
2022/5/16,1208740
2022/5/17,1209068
2022/5/18,1209397
2022/5/19,1209688
2022/5/20,1209931
2022/5/21,1210159
2022/5/22,1210396
2022/5/23,1210586
2022/5/24,1210836
2022/5/25,1211087
2022/5/26,1211338
2022/5/27,1211588
2022/5/28,1211858
2022/5/29,1212095
2022/5/30,1212370
2022/5/31,1212699
2022/6/1,1213204
2022/6/2,1213693
2022/6/3,1214192
2022/6/4,1214638
2022/6/5,1215153
2022/6/6,1215696
2022/6/7,1215935
2022/6/8,1216228
2022/6/9,1216842
2022/6/10,1217510
2022/6/11,1218361
2022/6/12,1219175
2022/6/13,1219912
2022/6/14,1220761
2022/6/15,1221808
2022/6/16,1222987
2022/6/17,1224132
2022/6/18,1225408
2022/6/19,1226684
2022/6/20,1228011
2022/6/21,1229209
2022/6/22,1230656
2022/6/23,1232306
2022/6/24,1234166
2022/6/25,1235960
2022/6/26,1237877
2022/6/27,1239750
2022/6/28,1241435
2022/6/29,1243439
2022/6/30,1245797
2022/7/1,1248115
2022/7/2,1250342
2022/7/3,1252170
2022/7/4,1254011
2022/7/5,1256279
2022/7/6,1259094
2022/7/7,1262122
2022/7/8,1265067
2022/7/9,1268062
2022/7/10,1271054
2022/7/11,1273917
2022/7/12,1276686
2022/7/13,1279840
2022/7/14,1283514
2022/7/15,1287088
2022/7/16,1290850
2022/7/17,1294336
2022/7/18,1297772
2022/7/19,1301028
2022/7/20,1304833
2022/7/21,1309208
2022/7/22,1313478
2022/7/23,1317743
2022/7/24,1321993
2022/7/25,1326123
2022/7/26,1330399
2022/7/27,1334907
2022/7/28,1339793
2022/7/29,1344677
2022/7/30,1349360
2022/7/31,1353994
2022/8/1,1358248
2022/8/2,1362371
2022/8/3,1366918
2022/8/4,1371938
2022/8/5,1376366
2022/8/6,1380968
2022/8/7,1385242
2022/8/8,1389282
2022/8/9,1393327
2022/8/10,1397920
2022/8/11,1402296
2022/8/12,1406735
2022/8/13,1412043
2022/8/14,1417022
2022/8/15,1421918
2022/8/16,1427080
2022/8/17,1432837
2022/8/18,1438891
2022/8/19,1445336
2022/8/20,1451725
2022/8/21,1458238
2022/8/22,1464855
2022/8/23,1471509
2022/8/24,1479393
2022/8/25,1487972
2022/8/26,1495807
2022/8/27,1504264
2022/8/28,1513972
2022/8/29,1522460
2022/8/30,1531308
2022/8/31,1540803
2022/9/1,1551389
2022/9/2,1561290
2022/9/3,1571716
2022/9/4,1582399
2022/9/5,1592420
2022/9/6,1601793
2022/9/7,1611987
2022/9/8,1623078
2022/9/9,1633154
2022/9/10,1642941
2022/9/11,1651974
2022/9/12,1659912
2022/9/13,1667130
2022/9/14,1674709
2022/9/15,1682896
2022/9/16,1691895
2022/9/17,1700173
2022/9/18,1707495
2022/9/19,1713755
2022/9/20,1719349
2022/9/21,1725036
2022/9/22,1731026
2022/9/23,1736413
2022/9/24,1741603
2022/9/25,1745500
2022/9/26,1749534
2022/9/27,1753201
2022/9/28,1757112
2022/9/29,1761381
2022/9/30,1765404
2022/10/1,1769311
2022/10/2,1772880
2022/10/3,1776409
2022/10/4,1779695
2022/10/5,1783337
2022/10/6,1787655
2022/10/7,1792024
2022/10/8,1796924
2022/10/9,1801814
2022/10/10,1806688
2022/10/11,1811344
2022/10/12,1816132
2022/10/13,1821754
2022/10/14,1826860
2022/10/15,1832284
2022/10/16,1837848
2022/10/17,1843209
2022/10/18,1848163
2022/10/19,1853287
2022/10/20,1858720
2022/10/21,1864113
2022/10/22,1870066
2022/10/23,1875601
2022/10/24,1881007
2022/10/25,1886228
2022/10/26,1891631
2022/10/27,1897693
2022/10/28,1903349
2022/10/29,1908732
2022/10/30,1913942
2022/10/31,1918708
2022/11/1,1923126
2022/11/2,1927835
2022/11/3,1933080
2022/11/4,1937596
2022/11/5,1942707
2022/11/6,1947695
2022/11/7,1952893
2022/11/8,1957542
2022/11/9,1962610
2022/11/10,1968307
2022/11/11,1973906
2022/11/12,1979629
2022/11/13,1986204
2022/11/14,1992218
2022/11/15,1998169
2022/11/16,2004825
2022/11/17,2012877
2022/11/18,2020885
2022/11/19,2028945
2022/11/20,2036681
2022/11/21,2043967
2022/11/22,2051106
2022/11/23,2059091
2022/11/24,2068310
2022/11/25,2077188
2022/11/26,2086062
2022/11/27,2094095
2022/11/28,2101888
2022/11/29,2109435
2022/11/30,2118245
2022/12/1,2128382
2022/12/2,2138378
2022/12/3,2148489
2022/12/4,2157976
2022/12/5,2167484
2022/12/6,2177436
2022/12/7,2189417
2022/12/8,2203790
2022/12/9,2217714
2022/12/10,2232091
2022/12/11,2247009
2022/12/12,2261726
2022/12/13,2275447
2022/12/14,2290317
2022/12/15,2307397
2022/12/16,2323123
2022/12/17,2338897
2022/12/18,2354920
2022/12/19,2370303
2022/12/20,2385285
2022/12/21,2402238
2022/12/22,2421943
2022/12/23,2442195
2022/12/24,2463557
2022/12/25,2484812
2022/12/26,2504210
2022/12/27,2522836
2022/12/28,2543701
